"~id","~labels","id"
"0","Entity","Anderson soares"
"1","Entity","Bacharelado em inteligência artificial"
"2","Entity","Inteligência artificial"
"3","Entity","Automatizar tarefas"
"4","Entity","Curso de inteligência artificial"
"5","Entity","Oito semestres"
"6","Entity","Empreendedor"
"7","Entity","Área global"
"8","Entity","Alunos"
"9","Entity","Empresas patrocinadoras"
"10","Entity","Empresas"
"11","Entity","35 empresas dos mais variados segmentos"
"12","Entity","Empreender"
"13","Entity","Encontrar soluções"
"14","Entity","Centro de excelência em inteligência artificial"
"15","Entity","35 empresas"
"16","Entity","Universidade federal de goiás"
"17","Entity","Pioneira no brasil"
"18","Entity","Ufg"
"19","Entity","Infraestrutura e equipamentos de alto custo"
"20","Entity","Brasil"
"21","Entity","Quatro laboratórios de veículos autônomos"
"22","Entity","Futuro"
"23","Entity","Mobilidade elétrica"
"24","Entity","Laboratório"
"25","Entity","Veículos autônomos em plataforma elétrica"
"26","Entity","Perfil de estudante"
"27","Entity","Tecnologia"
"28","Entity","Disponível ainda esse ano"
"29","Entity","Atividades e tarefas relacionadas à inteligência artificial"
"30","Entity","Profissional de inteligência artificial"
"31","Entity","Atuação vasta"
"32","Entity","Setor econômico"
"33","Entity","Digital"
"34","Entity","Conteúdo"
"35","Entity","Carreira de inteligência artificial"
"36","Entity","Globalizada"
"39","Entity","Carreira global"
"42","Entity","Empresas de fora"
"43","Entity","Cidades no brasil"
"46","Entity","Curso"
"47","Entity","Atuar em várias áreas"
"48","Entity","Jonas"
"49","Entity","Quinto período"
"50","Entity","Bia"
"51","Entity","Bacharelado de inteligência artificial"
"52","Entity","Estudante do bacharelado de inteligência artificial"
"53","Entity","Projetos"
"56","Entity","Desenvolvedor de software"
"59","Entity","Bacharelado"
"60","Entity","Redes sociais"
"61","Entity","Criação do curso de bacharelado em inteligência artificial"
"62","Entity","40 vagas no sisu de 2020"
"63","Entity","Campo de estudo"
"64","Entity","Vanguarda de instituições de ensino"
"65","Entity","Comissão de elaboração da nova modalidade"
"66","Entity","Curso de doutorado"
"72","Entity","Professor de inteligência artificial na ufg"
"79","Entity","Programação"
"84","Entity","Movimento global"
"87","Entity","Formar profissionais"
"90","Entity","Anseios de empresas"
"93","Entity","Empresas e organizações"
"94","Entity","Aliar ensino tradicional e vivência em projetos"
"95","Entity","Oportunidades para alunos"
"96","Entity","Aliar ensino tradicional com vivência em projetos"
"97","Entity","Resolução de problemas na prática"
"100","Entity","Programa embrapii capacitação 4.0"
"101","Entity","Duas fases"
"106","Entity","Maior infraestrutura para inteligência artificial do brasil"
"112","Entity","Robôs de menor porte"
"113","Entity","Dois supercomputadores"
"114","Entity","Automações de tarefas"
"115","Entity","Tecnologia de propósito geral"
"121","Entity","Futuros líderes"
"122","Entity","Goiás"
"132","Entity","Resolução consuni 15/2019 ufg"
"139","Entity","Instituto de informática"
"140","Entity","Aptidão"
"141","Entity","Importante local"
"148","Entity","Diretrizes curriculares nacionais"
"149","Entity","Do curso"
"152","Entity","Disciplinas de graduação"
"153","Entity","Obrigatórias"
"156","Entity","Disciplinas"
"157","Entity","Formação básica"
"158","Entity","Computação móvel e ubíqua"
"159","Entity","Jogos digitais"
"160","Entity","54"
"161","Entity","Pesquisa operacional"
"162","Entity","Segurança e auditoria de sistemas"
"163","Entity","Sistemas de apoio à decisão"
"164","Entity","55"
"165","Entity","Percepção e ação robótica"
"166","Entity","Disciplina"
"167","Entity","Apoio à tomada de decisão"
"168","Entity","Processamento de áudio e voz"
"169","Entity","Pesquisa e inovação"
"170","Entity","Redes neurais profundas"
"171","Entity","Visão computacional"
"172","Entity","Computação de alto desempenho"
"173","Entity","Internet das coisas"
"174","Entity","Sistemas distribuídos"
"175","Entity","Subject"
"176","Entity","Sistemas inteligentes de apoio à decisão"
"177","Entity","Sistemas multiagentes"
"178","Entity","Sistemas operacionais"
"185","Entity","Mec"
"186","Entity","Ministério da educação"
"187","Entity","Primeiro curso no brasil"
"192","Entity","Ppc"
"193","Entity","Requisitos legais e normativos"
"194","Entity","Instrução normativa"
"199","Entity","Responsável"
"202","Entity","Contexto"
"203","Entity","Instituição de referência"
"204","Entity","Dei"
"205","Entity","1983"
"206","Entity","Inf"
"207","Entity","1996"
"210","Entity","Doutorado acadêmico em ciência da computação"
"213","Entity","Envolvimento com empresas"
"218","Entity","Projetos de inovação tecnológica"
"219","Entity","Formar recursos humanos em inteligência artificial"
"222","Entity","2019"
"223","Entity","Curso de ciência de dados e inteligência artificial"
"225","Entity","Popularização da inteligência artificial em goiás"
"226","Entity","Acesso ao ensino superior"
"229","Entity","2 municípios"
"232","Entity","Pib inferior ao são bernardo do campo"
"233","Entity","1.213.946 pessoas com curso médio completo"
"234","Entity","Crescimento da economia goiana"
"235","Entity","Participação de goiás em mercado valioso"
"247","Entity","Contratar profissionais qualificados"
"250","Entity","Base curricular de ensino"
"251","Entity","Conhecimento em inteligência artificial"
"252","Entity","2017"
"262","Entity","Ufg e mec"
"263","Entity","Formar profissionais em sistemas inteligentes e autônomos"
"266","Entity","Formar profissionais aptos"
"267","Entity","Egresso"
"268","Entity","Profissional com capacitação sólida em inteligência artificial"
"269","Entity","Contribuir efetivamente com equipes"
"270","Entity","Habilidades para lidar com problemas"
"271","Entity","Postura profissional e conduta ética"
"277","Entity","Princípios necessários"
"278","Entity","Princípios"
"279","Entity","Seguir"
"282","Entity","Ética"
"283","Entity","Computação e sociedade"
"286","Entity","Contribuição para área de ia"
"287","Entity","Emprego da ia em projetos de p&d"
"295","Entity","Percepção robótica"
"300","Entity","Residência em inteligência artificial"
"301","Entity","Ponto explícito do curso"
"304","Entity","384 horas"
"305","Entity","128 horas de disciplinas do nl"
"320","Entity","Participação do estudante em projetos integradores"
"323","Entity","Cada hora de atividade acadêmica em 50 minutos de preleções e 10 minutos de atividades práticas"
"324","Entity","Nde"
"325","Entity","Prioridades"
"326","Entity","Execução de ações"
"327","Entity","Consultivo"
"328","Entity","Órgão consultivo"
"329","Entity","Docentes"
"330","Entity","Ações"
"331","Entity","Resolução conaes"
"356","Entity","Programas institucionais"
"357","Entity","Visão exigida"
"358","Entity","Ensino e extensão e pesquisa"
"363","Entity","Principal consumidor"
"364","Entity","Avaliação"
"373","Entity","Sistema de avaliação específico"
"376","Entity","Avaliado periodicamente"
"377","Entity","Revisões do ppc"
"378","Entity","Política de capacitação"
"379","Entity","Titulação mínima de doutor"
"380","Entity","Viagens e inscrições em congressos"
"383","Entity","Resolução cepec 1286/2014"
"384","Entity","Afastamento de docentes"
"387","Entity","Condições de acesso para pessoas com deficiência"
"390","Entity","Lei no 9.394/96"
"391","Entity","Primeiro curso de computação no brasil"
"392","Entity","Diretrizes nacionais para a educação em direitos humanos"
"395","Entity","Resolução nº 1"
"401","Entity","Diversidade"
"402","Entity","Informações acadêmicas"
"407","Entity","Disciplina libras como optativa"
"411","Entity","Educação ambiental"
"412","Entity","Prática educativa integrada"
"413","Entity","Conhecimento de questões relativas à educação"
"414","Entity","Conscientização da preservação ambiental"
"415","Entity","Plano de logística sustentável"
"416","Entity","Práticas de sustentabilidade"
"417","Entity","Programa institucional"
"418","Entity","Ações do pls"
"435","Entity","10 disciplinas"
"438","Entity","Optativas"
"439","Entity","Parte do núcleo específico obrigatório"
"440","Entity","Cinco docentes"
"441","Entity","Neob"
"442","Entity","Núcleo específico optativo"
"444","Entity","35"
"445","Entity","Desenvolvimento de sistemas para web"
"446","Entity","Seis disciplinas"
"453","Entity","Carga horária"
"460","Entity","Oito períodos letivos"
"465","Entity","Fluxo sugerido"
"468","Entity","Análise e projeto de algoritmos"
"469","Entity","Obrigatória"
"470","Entity","Banco de dados"
"471","Entity","Arquitetura de computadores"
"472","Entity","Redes de computadores"
"473","Entity","Heurísticas e modelagem multiobjetivo"
"476","Entity","384"
"477","Entity","Introdução à programação"
"478","Entity","Nenhum"
"479","Entity","Lógica matemática"
"480","Entity","Núcleo"
"481","Entity","Cálculo 1a"
"482","Entity","Noções básicas"
"483","Entity","Números reais"
"484","Entity","Unidade obrigatória"
"485","Entity","Algoritmos e estruturas de dados 1"
"490","Entity","Programação orientada a objetos"
"491","Entity","Herança"
"492","Entity","Algoritmos e estruturas de dados 2"
"493","Entity","Pré-requisitos: lógica matemática"
"494","Entity","Probabilidade e estatística a"
"495","Entity","Pré-requisito: cálculo 1a"
"496","Entity","Visão geral dos computadores modernos"
"497","Entity","Álgebra linear"
"498","Entity","Sistemas lineares e matrizes"
"499","Entity","Espaços vetoriais"
"500","Entity","Conceitos básicos de redes"
"501","Entity","Camada de aplicação"
"503","Entity","Desenvolvimento de sistemas"
"504","Entity","Engenharia de software"
"505","Entity","Requisitos de software"
"506","Entity","Projeto de software"
"514","Entity","Conceitos fundamentais de jogos"
"515","Entity","Modelagem"
"516","Entity","Algoritmo simplex"
"517","Entity","Políticas de segurança"
"518","Entity","Núcleo teo pra total"
"519","Entity","Pré-requisito"
"520","Entity","Agentes inteligentes"
"521","Entity","Hardware e software"
"522","Entity","Gerência de processos"
"523","Entity","Conceitos de hardware e software"
"528","Entity","Não ambígua"
"529","Entity","Verificável"
"532","Entity","Para cada tópico"
"539","Entity","Realizar atividades"
"548","Entity","Pensamento analítico de dados"
"549","Entity","Introdução ao pensamento analítico de dados"
"550","Entity","Análise exploratória de dados"
"551","Entity","Mineração de dados"
"552","Entity","Técnicas de análise de dados"
"553","Entity","Algoritmos para mineração"
"554","Entity","Avaliação de experimentos"
"560","Entity","Processamento digital de sinais e imagens"
"561","Entity","Introdução a sinais"
"562","Entity","Técnicas de análise no tempo e frequência"
"563","Entity","Algoritmos para segmentação"
"578","Entity","Aplicações"
"583","Entity","Sistema"
"584","Entity","Sistemas computacionais de alto desempenho"
"585","Entity","Arquiteturas para computação de alto desempenho"
"586","Entity","Modelos de programação paralela"
"605","Entity","Aprendizado de máquina por reforço"
"606","Entity","Fundamentos de aprendizado por reforço"
"607","Entity","Ambientes de simulação"
"608","Entity","Policy gradients"
"609","Entity","Processamento de dados massivos"
"610","Entity","4h"
"623","Entity","Análise descritiva"
"624","Entity","Análise diagnóstica"
"625","Entity","Análise preditiva"
"626","Entity","Análise prescritiva"
"627","Entity","Teo"
"628","Entity","Modelos acústicos tradicionais"
"629","Entity","Arquiteturas de redes neurais"
"630","Entity","Reconhecimento de fala"
"631","Entity","Tipologias da inovação"
"632","Entity","Sistema de inovação"
"633","Entity","Método científico"
"636","Entity","Conhecimento amplo da área"
"640","Entity","Inserir aluno em projetos integradores"
"645","Entity","Programa de residência em inteligência artificial"
"646","Entity","Cada semestre letivo"
"647","Entity","Preceptores"
"660","Entity","Cepec-1"
"667","Entity","Resolução consuni 10/2008"
"674","Entity","Pls"
"675","Entity","Disciplina obrigatória"
"765","Entity","Boldrini"
"768","Entity","Lipschutz"
"913","Entity","Taha"
"940","Entity","Bibliografia básica"
"941","Entity","Bibliografia complementar"
"942","Entity","Oliveira"